trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
40,False,"{'a': 0.5351774068557441, 'e': 0.15811388300841897}",30,15,2.3058873537615834,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
41,False,"{'a': 0.5298256327871866, 'e': 0.15617376188860607}",35,17,11.893745467983912,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
42,False,"{'a': 0.5245273764593148, 'e': 0.1543033499620919}",20,8,-44.87957404732079,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
43,False,"{'a': 0.5192821026947216, 'e': 0.15249857033260467}",20,14,9.259477279153185,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5140892816677745, 'e': 0.15075567228888181}",25,0,-7.404740275674653,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
45,False,"{'a': 0.5089483888510967, 'e': 0.14907119849998599}",25,12,-22.127904678943313,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
46,False,"{'a': 0.5038589049625858, 'e': 0.14744195615489714}",25,0,23.61668732022132,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
47,False,"{'a': 0.49882031591295994, 'e': 0.14586499149789456}",20,0,29.003051846201668,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
48,False,"{'a': 0.4938321127538303, 'e': 0.14433756729740646}",20,15,7.208392849486108,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.48889379162629204, 'e': 0.14285714285714285}",25,0,-26.398521253437323,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
50,False,"{'a': 0.4840048537100291, 'e': 0.1414213562373095}",20,0,-2.7589436321496867,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
51,False,"{'a': 0.4791648051729288, 'e': 0.14002800840280097}",30,0,1.5057764193193284,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
52,False,"{'a': 0.47437315712119954, 'e': 0.1386750490563073}",30,0,17.1782230812211,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
53,False,"{'a': 0.46962942554998754, 'e': 0.13736056394868904}",25,0,38.113817262384636,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
54,False,"{'a': 0.46493313129448766, 'e': 0.13608276348795434}",25,0,30.605151389247293,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
55,False,"{'a': 0.4602837999815428, 'e': 0.13483997249264842}",30,10,-24.816911662925392,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
56,False,"{'a': 0.45568096198172736, 'e': 0.1336306209562122}",25,15,5.034337122712612,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.45112415236191006, 'e': 0.13245323570650439}",20,14,11.891658949033374,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.44661291083829097, 'e': 0.13130643285972254}",25,0,15.801424407951037,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
59,False,"{'a': 0.44214678172990807, 'e': 0.13018891098082389}",25,12,26.316691187993644,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.437725313912609, 'e': 0.12909944487358055}",20,0,21.34849072933244,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
61,False,"{'a': 0.4333480607734829, 'e': 0.12803687993289598}",30,12,31.835669629311155,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.4290145801657481, 'e': 0.1270001270001905}",35,8,43.642561036528996,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.42472443436409063, 'e': 0.1259881576697424}",20,0,28.94847707519244,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
64,False,"{'a': 0.4204771900204497, 'e': 0.125}",25,9,9.168437207963168,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.4162724181202452, 'e': 0.12403473458920847}",20,0,-32.48400405905913,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
66,False,"{'a': 0.41210969393904273, 'e': 0.12309149097933272}",20,8,21.71092979388474,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.4079885969996523, 'e': 0.12216944435630522}",20,0,30.69038964844981,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
68,False,"{'a': 0.40390871102965575, 'e': 0.12126781251816648}",20,10,-23.79730142707161,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
69,False,"{'a': 0.3998696239193592, 'e': 0.1203858530857692}",25,0,-35.88398159110786,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
70,False,"{'a': 0.39587092768016563, 'e': 0.11952286093343936}",30,12,18.149327748943485,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
71,False,"{'a': 0.391912218403364, 'e': 0.11867816581938533}",20,6,9.449662097936457,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.38799309621933037, 'e': 0.11785113019775793}",20,5,27.918307989700395,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.38411316525713707, 'e': 0.11704114719613057}",20,0,-16.220831083263676,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
