date,reserves
1/1/2016,32308.93
2/1/2016,32023.21
3/1/2016,32125.79
4/1/2016,32196.68
5/1/2016,31917.36
6/1/2016,32051.62
7/1/2016,32010.57
8/1/2016,31851.67
9/1/2016,31663.82
10/1/2016,31206.55
11/1/2016,30515.98
12/1/2016,30105.17
1/1/2017,29982.04
2/1/2017,30051.24
3/1/2017,30090.88
4/1/2017,30295.33
5/1/2017,30535.67
6/1/2017,30535.67
7/1/2017,30535.67
8/1/2017,30535.67
9/1/2017,30535.67
10/1/2017,30535.67
11/1/2017,30535.67
12/1/2017,30535.67
